channel_name,physical_channel_number,region,hemisphere,probe_or_tetrode,channel_type,unit_confirmed,region_assignment_source,notes,is_example
TETFP01,1,M1,,,,true,user_confirmed_physical_range_1_4,"物理通道1–4归入M1；未提供半球/探针几何",false
TETFP02,2,M1,,,,true,user_confirmed_physical_range_1_4,"物理通道1–4归入M1；未提供半球/探针几何",false
TETFP03,3,M1,,,,true,user_confirmed_physical_range_1_4,"物理通道1–4归入M1；未提供半球/探针几何",false
TETFP04,4,M1,,,,true,user_confirmed_physical_range_1_4,"物理通道1–4归入M1；未提供半球/探针几何",false
TETFP05,5,STR,,,,true,user_confirmed_physical_range_5_8,"物理通道5–8归入STR；未提供半球/探针几何",false
TETFP06,6,STR,,,,true,user_confirmed_physical_range_5_8,"物理通道5–8归入STR；未提供半球/探针几何",false
TETFP07,7,STR,,,,true,user_confirmed_physical_range_5_8,"物理通道5–8归入STR；未提供半球/探针几何",false
TETFP08,8,STR,,,,true,user_confirmed_physical_range_5_8,"物理通道5–8归入STR；未提供半球/探针几何",false
TETFP17,17,PF,,,,true,user_confirmed_physical_range_17_20,"物理通道17–20归入PF；未提供半球/探针几何",false
TETFP18,18,PF,,,,true,user_confirmed_physical_range_17_20,"物理通道17–20归入PF；未提供半球/探针几何",false
TETFP19,19,PF,,,,true,user_confirmed_physical_range_17_20,"物理通道17–20归入PF；未提供半球/探针几何",false
TETFP20,20,PF,,,,true,user_confirmed_physical_range_17_20,"物理通道17–20归入PF；未提供半球/探针几何",false
TETFP21,21,SNr,,,,true,user_confirmed_physical_range_21_24,"物理通道21–24归入SNr；未提供半球/探针几何",false
TETFP22,22,SNr,,,,true,user_confirmed_physical_range_21_24,"物理通道21–24归入SNr；未提供半球/探针几何",false
TETFP23,23,SNr,,,,true,user_confirmed_physical_range_21_24,"物理通道21–24归入SNr；未提供半球/探针几何",false
TETFP24,24,SNr,,,,true,user_confirmed_physical_range_21_24,"物理通道21–24归入SNr；未提供半球/探针几何",false
